redhat jgroups	Product redhat jgroups
CVE-2018-6356	Jenkins 2.107 Jenkins LTS 2.89.4 properly prevent specifying relative paths escape base directory URLs accessing plugin resource files . allowed users Overall/Read permission download files Jenkins master access . Windows , file accessible Jenkins master process could downloaded . operating systems , file within Jenkins home directory accessible Jenkins master process could downloaded .
CVE-2013-4941	Cross-site scripting ( XSS ) vulnerability uploader.swf Uploader component Yahoo ! YUI 3.2.0 3.9.1 , used Moodle 2.1.10 , 2.2.x 2.2.11 , 2.3.x 2.3.8 , 2.4.x 2.4.5 , 2.5.x 2.5.1 , products , allows remote attackers inject arbitrary web script HTML via crafted string URL .
CVE-2018-1000012	Jenkins Warnings Plugin 4.64 earlier processes XML external entities files parses part build process , allowing attackers user permissions Jenkins extract secrets Jenkins master , perform server-side request forgery , denial-of-service attacks .
CVE-2018-1000143	exposure sensitive information vulnerability exists Jenkins GitHub Pull Request Builder Plugin version 1.39.0 older GhprbCause.java allows attacker local file system access obtain GitHub credentials .
CVE-2018-8035	vulnerability relates user 's browser processing DUCC webpage input data.The javascript comprising Apache UIMA DUCC ( < = 2.2.2 ) runs user 's browser sufficiently filter user supplied inputs , may result unintended execution user supplied javascript code .
apache flex_blazeds	Product apache flex_blazeds
hp xp_command_view_advanced_edition	Product hp xp_command_view_advanced_edition
CVE-2017-5641	Previous versions Apache Flex BlazeDS ( 4.7.2 earlier ) restrict types allowed AMF ( X ) object deserialization default . deserialization process code executed several known types undesired side-effects . , unknown types may also exhibit behaviors . One vector Java standard library exists allows attacker trigger possibly exploitable Java deserialization untrusted data . known vectors third party libraries used trigger remote code execution .
apache jclouds	Product apache jclouds
CVE-2014-4651	found jclouds scriptbuilder Statements class wrote temporary file predictable location . attacker could use flaw access sensitive data , cause denial service , perform attacks .
apache xalan-java	Product apache xalan-java
CVE-2014-0107	TransformerFactory Apache Xalan-Java 2.7.2 properly restrict access certain properties FEATURE_SECURE_PROCESSING enabled , allows remote attackers bypass expected restrictions load arbitrary classes access external resources via crafted ( 1 ) xalan : content-header , ( 2 ) xalan : entities , ( 3 ) xslt : content-header , ( 4 ) xslt : entities property , Java property bound XSLT 1.0 system-property function .
CVE-2017-1000079	Linux foundation ONOS 1.9.0 vulnerable DoS .
CVE-2020-10758	vulnerability found Keycloak 11.0.1 DoS attack possible sending twenty requests simultaneously specified keycloak server , Content-Length header value exceeds actual byte count request body .
CVE-2018-10237	Unbounded memory allocation Google Guava 11.0 24.x 24.1.1 allows remote attackers conduct denial service attacks servers depend library deserialize attacker-provided data , AtomicDoubleArray class ( serialized Java serialization ) CompoundOrdering class ( serialized GWT serialization ) perform eager allocation without appropriate checks client sent whether data size reasonable .
highcharts highcharts	Product highcharts highcharts
CVE-2018-20801	js/parts/SvgRenderer.js Highcharts JS 6.1.0 , use backtracking regular expressions permitted attacker conduct denial service attack SVGRenderer component , aka ReDoS .
CVE-2020-7622	affects package io.jooby : jooby-netty 1.6.9 , 2.0.0 2.2.1 . DefaultHttpHeaders set false means validates header n't abused HTTP Response Splitting .
mozilla nunjucks	Product mozilla nunjucks
CVE-2016-10547	Nunjucks full featured templating engine JavaScript . Versions 2.4.2 lower cross site scripting ( XSS ) vulnerability autoescape mode . autoescape mode , template vars automatically escaped . using array keys , ` name [ ] = < script > alert ( 1 ) < /script > ` , possible bypass autoescaping inject content DOM .
CVE-2018-11796	Apache Tika 1.19 ( CVE-2018-11761 ) , added entity expansion limit XML parsing . However , Tika reuses SAXParsers calls reset ( ) parse , , Xerces2 parsers , per documentation , removes user-specified SecurityManager thus removes entity expansion limits first parse . Apache Tika versions 0.1 1.19 therefore still vulnerable entity expansions lead denial service attack . Users upgrade 1.19.1 later .
CVE-2020-11996	specially crafted sequence HTTP/2 requests sent Apache Tomcat 10.0.0-M1 10.0.0-M5 , 9.0.0.M1 9.0.35 8.5.0 8.5.55 could trigger high CPU usage several seconds . sufficient number requests made concurrent HTTP/2 connections , server could become unresponsive .
CVE-2016-4468	SQL injection vulnerability Pivotal Cloud Foundry ( PCF ) 238 ; UAA 2.x 2.7.4.4 , 3.x 3.3.0.2 , 3.4.x 3.4.1 ; UAA BOSH 11.2 12.x 12.2 ; Elastic Runtime 1.6.29 1.7.x 1.7.7 ; Ops Manager 1.7.x 1.7.8 allows remote authenticated users execute arbitrary SQL commands via unspecified vectors .
CVE-2019-10472	missing permission check Jenkins Libvirt Slaves Plugin allows attackers Overall/Read permission connect attacker-specified SSH server using attacker-specified credentials IDs obtained another method , capturing credentials stored Jenkins .
CVE-2018-1000010	Jenkins DRY Plugin 2.49 earlier processes XML external entities files parses part build process , allowing attackers user permissions Jenkins extract secrets Jenkins master , perform server-side request forgery , denial-of-service attacks .
CVE-2017-17068	cross-origin vulnerability discovered Auth0 auth0.js library affecting versions < 8.12 . vulnerability allows attacker acquire authenticated users ' tokens invoke services user 's behalf target site application uses popup callback page auth0.popup.callback ( ) .
mono_project mono	Product mono_project mono
oracle weblogic_server_component	Product oracle weblogic_server_component
oracle application_server	Product oracle application_server
oracle bea_product_suite	Product oracle bea_product_suite
CVE-2009-0217	design W3C XML Signature Syntax Processing ( XMLDsig ) recommendation , implemented products including ( 1 ) Oracle Security Developer Tools component Oracle Application Server 10.1.2.3 , 10.1.3.4 , 10.1.4.3IM ; ( 2 ) WebLogic Server component BEA Product Suite 10.3 , 10.0 MP1 , 9.2 MP3 , 9.1 , 9.0 , 8.1 SP6 ; ( 3 ) Mono 2.4.2.2 ; ( 4 ) XML Security Library 1.2.12 ; ( 5 ) IBM WebSphere Application Server Versions 6.0 6.0.2.33 , 6.1 6.1.0.23 , 7.0 7.0.0.1 ; ( 6 ) Sun JDK JRE Update 14 earlier ; ( 7 ) Microsoft .NET Framework 3.0 3.0 SP2 , 3.5 , 4.0 ; products uses parameter defines HMAC truncation length ( HMACOutputLength ) require minimum length , allows attackers spoof HMAC-based signatures bypass authentication specifying truncation length small number bits .
jenkins jclouds	Product jenkins jclouds
CVE-2019-10368	cross-site request forgery vulnerability Jenkins JClouds Plugin 2.14 earlier BlobStoreProfile.DescriptorImpl # doTestConnection JCloudsCloud.DescriptorImpl # doTestConnection allowed users Overall/Read access connect attacker-specified URL using attacker-specified credentials IDs obtained another method , capturing credentials stored Jenkins .
CVE-2016-0956	Servlets Post component 2.3.6 Apache Sling , used Adobe Experience Manager 5.6.1 , 6.0.0 , 6.1.0 , allows remote attackers obtain sensitive information via unspecified vectors .
CVE-2021-39153	XStream simple library serialize objects XML back . affected versions vulnerability may allow remote attacker load execute arbitrary code remote host manipulating processed input stream , using version box Java runtime version 14 8 JavaFX installed . user affected , followed recommendation setup XStream 's security framework whitelist limited minimal required types . XStream 1.4.18 uses longer blacklist default , since secured general purpose .
jenkins appdynamics	Product jenkins appdynamics
CVE-2019-1003039	insufficiently protected credentials vulnerability exists JenkinsAppDynamics Dashboard Plugin 1.0.14 earlier src/main/java/nl/codecentric/jenkins/appd/AppDynamicsResultsPublisher.java allows attackers without permission obtain passwords configured jobs obtain .
CVE-2021-27290	ssri 5.2.2-8.0.0 , fixed 8.0.1 , processes SRIs using regular expression vulnerable denial service . Malicious SRIs could take extremely long time process , leading denial service . issue affects consumers using strict option .
CWE-209	Generation Error Message Containing Sensitive Information
CVE-2020-25633	flaw found RESTEasy client versions RESTEasy 4.5.6.Final . may allow client users obtain server 's potentially sensitive information server got WebApplicationException RESTEasy client call . highest threat vulnerability data confidentiality .
oracle jd_edwards_world_security	Product oracle jd_edwards_world_security
oracle spatial_and_graph	Product oracle spatial_and_graph
oracle enterprise_manager_for_peoplesoft	Product oracle enterprise_manager_for_peoplesoft
oracle oracle_goldengate_application_adapters	Product oracle oracle_goldengate_application_adapters
oracle retail_insights_cloud_service_suite	Product oracle retail_insights_cloud_service_suite
CVE-2020-9488	Improper validation certificate host mismatch Apache Log4j SMTP appender . could allow SMTPS connection intercepted man-in-the-middle attack could leak log messages sent appender . Fixed Apache Log4j 2.12.3 2.13.1
CVE-2018-20594	issue discovered hsweb 3.0.4 . reflected XSS vulnerability due absence type parameter checking FlowableModelManagerController.java .
CVE-2020-2094	missing permission check Jenkins Health Advisor CloudBees Plugin 3.0 earlier allows attackers Overall/Read permission send fixed email attacker-specific recipient .
CVE-2018-1000149	man middle vulnerability exists Jenkins Ansible Plugin 0.8 older AbstractAnsibleInvocation.java , AnsibleAdHocCommandBuilder.java , AnsibleAdHocCommandInvocationTest.java , AnsibleContext.java , AnsibleJobDslExtension.java , AnsiblePlaybookBuilder.java , AnsiblePlaybookStep.java disables host key verification default .
